shoeNumber	shoeName	shoeUrl	shoePrice
218	Zoot Ultra Kiawe 2.0	https://runrepeat.com/zoot-ultra-kiawe	30
219	Adidas Rockadia Trail	https://runrepeat.com/adidas-rockadia-trail	37
220	Nike LunarEpic Low Flyknit 2	https://runrepeat.com/nike-lunarepic-low-flyknit-2	84
221	Altra Provision 3.0	https://runrepeat.com/altra-provision-3-0	120
222	Brooks Transcend 5	https://runrepeat.com/brooks-transcend-5	95
223	Asics GT 1000 6	https://runrepeat.com/asics-gt-1000-6	40
224	Mizuno WaveKnit R2	https://runrepeat.com/mizuno-waveknit-r2	130
225	Asics Gel Torrance	https://runrepeat.com/asics-gel-torrance	30
226	Nike Zoom Streak 6	https://runrepeat.com/nike-zoom-streak-6	75
227	New Balance FuelCore Coast v4	https://runrepeat.com/new-balance-fuelcore-coast-v4	40
228	Asics Noosa FF 2	https://runrepeat.com/asics-noosa-ff-2	65
229	New Balance Fresh Foam Kaymin	https://runrepeat.com/new-balance-fresh-foam-kaymin	60
230	Asics Gel Nimbus 19	https://runrepeat.com/asics-gel-nimbus-19	60
231	Nike Air Max Sequent 4	https://runrepeat.com/nike-air-max-sequent-4	59
232	Brooks Caldera 2	https://runrepeat.com/brooks-caldera-2	129
233	Asics Gel Kahana 8	https://runrepeat.com/asics-gel-kahana-8	42
234	Nike Air Max 2017	https://runrepeat.com/nike-air-max-2017	105
235	Asics GT 2000 7	https://runrepeat.com/asics-gt-2000-7	110
236	Adidas Questar Trail	https://runrepeat.com/adidas-questar-trail	35
237	Asics Alpine XT	https://runrepeat.com/asics-alpine-xt	45
238	Asics Gel Pulse 9	https://runrepeat.com/asics-gel-pulse-9	60
239	Under Armour SpeedForm Gemini 3	https://runrepeat.com/under-armour-speedform-gemini-3	52
240	Brooks Anthem	https://runrepeat.com/brooks-anthem	60
241	Brooks Glycerin 17	https://runrepeat.com/brooks-glycerin-17	140
242	New Balance Fresh Foam Zante v3	https://runrepeat.com/new-balance-fresh-foam-zante-v3	60
243	Nike Air Zoom Structure 22	https://runrepeat.com/nike-air-zoom-structure-22	78
